fullname,shortname,category_path
2020-24 Batch MAT101,20 MAT101,Semester 1 / MAT 101 - LINEAR ALGEBRA AND CALCULUS
2020-24 Batch PHT100,20 PHT100,Semester 1 / PHT 100 - ENGINEERING PHYSICS A
2020-24 Batch EST100,20 EST100,Semester 1 / EST 100 - ENGINEERING MECHANICS
2020-24 Batch EST130,20 EST130,Semester 1 / EST 130 - BASICS OF ELECTRICAL & ELECTRONICS ENGINEERING
2020-24 Batch HUN101,20 HUN101,Semester 1 / HUN 101 - LIFE SKILLS
2020-24 Batch PHL120,20 PHL120,Semester 1 / PHL 120 - ENGINEERING PHYSICS LAB
2020-24 Batch ESL130,20 ESL130,Semester 1 / ESL 130 - ELECTRICAL & ELECTRONICS WORKSHOP
