fullname,shortname,category_path
2022-26 Batch MAT203,22 MAT203,Semester 3 / MAT 203 - DISCRETE MATHEMATICAL STRUCTURES
2022-26 Batch CST201,22 CST201,Semester 3 / CST 201 - DATA STRUCTURES
2022-26 Batch CST203,22 CST203,Semester 3 / CST 203 - LOGIC SYSTEM DESIGN
2022-26 Batch CST205,22 CST205,Semester 3 / CST 205 - OBJECT ORIENTED PROGRAMMING USING JAVA
2022-26 Batch HUT200,22 HUT200,Semester 3 / HUT 200 - PROFESSIONAL ETHICS
2022-26 Batch MCN201,22 MCN201,Semester 3 / MCN 201 - SUSTAINABLE ENGINEERING
2022-26 Batch CSL201,22 CSL201,Semester 3 / CSL 201 - DATA STRUCTURES LAB
2022-26 Batch CSL203,22 CSL203,Semester 3 / CSL 203 - OBJECT ORIENTED PROGRAMMING LAB (IN JAVA)
