fullname,shortname,category_path
2021-25 Batch ADT301,21 ADT301,Semester 5 / ADT 301 - FOUNDATIONS OF DATA SCIENCE
2021-25 Batch CST303,21 CST303,Semester 5 / CST 303 - COMPUTER NETWORKS
2021-25 Batch AMT305,21 AMT305,Semester 5 / AMT 305 - INTRODUCTION TO MACHINE LEARNING
2021-25 Batch AIT307,21 AIT307,Semester 5 / AIT 307 - INTRODUCTION TO ARTIFICIAL INTELLIGENCE
2021-25 Batch CST309,21 CST309,Semester 5 / CST 309 - MANAGEMENTOF SOFTWARE SYSTEMS
2021-25 Batch MCN301,21 MCN301,Semester 5 / MCN 301 - DISASTER MANAGEMENT
2021-25 Batch ADL331,21 ADL331,Semester 5 / ADL 331 - AI & DATA SCIENCE LAB
2021-25 Batch CSL333,21 CSL333,Semester 5 / CSL 333 - DATABASE MANAGEMENT SYSTEMS LAB
