fullname,shortname,category_path
2023-27 Batch MAT101,23 MAT101,Semester 1 / MAT 101 - LINEAR ALGEBRA AND CALCULUS
2023-27 Batch PHT100,23 PHT100,Semester 1 / PHT 100 - ENGINEERING PHYSICS A
2023-27 Batch EST100,23 EST100,Semester 1 / EST 100 - ENGINEERING MECHANICS
2023-27 Batch EST130,23 EST130,Semester 1 / EST 130 - BASICS OF ELECTRICAL & ELECTRONICS ENGINEERING
2023-27 Batch HUN101,23 HUN101,Semester 1 / HUN 101 - LIFE SKILLS
2023-27 Batch PHL120,23 PHL120,Semester 1 / PHL 120 - ENGINEERING PHYSICS LAB
2023-27 Batch ESL130,23 ESL130,Semester 1 / ESL 130 - ELECTRICAL & ELECTRONICS WORKSHOP
