slot,course_id,course_no,name
A,ADT,302,CONCEPTS IN BIG DATA ANALYTICS
B,AIT,304,ROBOTICS AND INTELLIGENT SYSTEM
C,CST,306,ALGORITHM ANALYSIS AND DESIGN
E,HUT,300,INDUSTRIAL ECONOMICS & FOREIGN TRADE
F,ADT,308,COMPREHENSIVE COURSE WORK
S,ADL,332,BIGDATA ANALYTICS LAB
T,ADD,334,MINIPROJECT
