slot,course_id,course_no,name
A,MAT,101,LINEAR ALGEBRA AND CALCULUS
B,PHT,100,ENGINEERING PHYSICS A
C,EST,100,ENGINEERING MECHANICS
D,EST,130,BASICS OF ELECTRICAL & ELECTRONICS ENGINEERING
E,HUN,101,LIFE SKILLS
S,PHL,120,ENGINEERING PHYSICS LAB
T,ESL,130,ELECTRICAL & ELECTRONICS WORKSHOP
