slot,course_id,course_no,name
A,ADT,301,FOUNDATIONS OF DATA SCIENCE
B,CST,303,COMPUTER NETWORKS
C,AMT,305,INTRODUCTION TO MACHINE LEARNING
D,AIT,307,INTRODUCTION TO ARTIFICIAL INTELLIGENCE
E,CST,309,MANAGEMENTOF SOFTWARE SYSTEMS
F,MCN,301,DISASTER MANAGEMENT
S,ADL,331,AI & DATA SCIENCE LAB
T,CSL,333,DATABASE MANAGEMENT SYSTEMS LAB
