slot,course_id,course_no,name
A,MAT,203,DISCRETE MATHEMATICAL STRUCTURES
B,CST,201,DATA STRUCTURES
C,CST,203,LOGIC SYSTEM DESIGN
D,CST,205,OBJECT ORIENTED PROGRAMMING USING JAVA
E,HUT,200,PROFESSIONAL ETHICS
F,MCN,201,SUSTAINABLE ENGINEERING
S,CSL,201,DATA STRUCTURES LAB
T,CSL,203,OBJECT ORIENTED PROGRAMMING LAB(IN JAVA)
