slot,course_id,course_no,name
A,MAT,256,PROBABILITY AND STATISTICAL MODELING
B,CST,202,COMPUTER ORGANISATION AND ARCHITECTURE
C,CST,204,DATABASE MANAGEMENT SYSTEMS
D,CST,206,OPERATING SYSTEMS
E,EST,200,DESIGN & ENGINEERING
F,MCN,202,CONSTITUTION OF INDIA
S,ADL,202,PYTHON AND STATISTICAL MODELING LAB 
T,CSL,204,OPERATING SYSTEMS LAB
